product_code,product_name
Bathroom_Tissue_10000047,贝柔宝宝方巾纸
Bathroom_Tissue_10000048,贝柔压花方巾纸
Bathroom_Tissue_10000049,好知恋方巾纸
Bathroom_Tissue_10000050,深洁丽压花方巾纸
Bathroom_Tissue_10000051,贝柔宝宝卷纸
Bathroom_Tissue_10000052,贝柔超值卷纸(条)
Bathroom_Tissue_10000053,快乐泡泡迷你纸手巾V0028
Bathroom_Tissue_10000054,维达标准纸巾
Bathroom_Tissue_10000055,维达V4028卷纸(蓝色经典)
Bathroom_Tissue_10000056,维达蓝色经典迷你纸巾
Bathroom_Tissue_10000057,心相印长型手帕纸巾910
Bathroom_Tissue_10000058,心相印百合皮夹手帕纸
Bathroom_Tissue_10000059,欢笑超值卷纸
Bathroom_Tissue_10000060,欢笑超值装卷装
Bathroom_Tissue_10000061,深洁丽特惠装卷纸
Bathroom_Tissue_10000062,欢笑手帕纸
Bathroom_Tissue_10000063,王子妙管家迷你小纸巾
Bathroom_Tissue_10000064,王子妙管家小纸巾
Bathroom_Tissue_10000065,维达红色卷纸(大包装)
Bathroom_Tissue_10000066,维达纸巾(大包装)
Bathroom_Tissue_10000067,维达卷纸(蓝色经典)(大包装)
Bathroom_Tissue_10000068,美宜佳迷你纸巾（大包装）
Bathroom_Tissue_10000069,美佳常伴卷纸(卷)
Bathroom_Tissue_10000070,美佳常伴方巾纸
Bathroom_Tissue_10000071,美佳常伴手帕纸
Bathroom_Tissue_10000072,美佳常伴无心卷纸
Bathroom_Tissue_10000073,洁柔太阳BB卷纸
Bathroom_Tissue_10000074,洁柔太阳BB卷纸
Bathroom_Tissue_10000075,洁柔CS卷纸(10送2)
Bathroom_Tissue_10000076,舒洁3层标准手帕纸
Bathroom_Tissue_10000077,舒洁3层标准手帕纸(大包装)
Bathroom_Tissue_10000078,宝丽新一代简装卷纸
Bathroom_Tissue_10000079,宝丽新一代卷纸
Bathroom_Tissue_10000080,罗曼蒂克雅典卫生卷纸
Bathroom_Tissue_10000081,深洁丽鲜橙优惠装卷纸
Bathroom_Tissue_10000082,宝丽新一代320方巾纸
Bathroom_Tissue_10000083,活力2008健将卷纸
Bathroom_Tissue_10000084,贝柔实惠装卷纸
